label	display_label
human_P99999_Homo	human / P99999 / Homo
chimpanzee_P99998_Pan	chimpanzee / P99998 / Pan
rhesus_macaque_P00002_Macaca	rhesus macaque / P00002 / Macaca
horse_P00004_Equus	horse / P00004 / Equus
bovine_P62894_Bos	bovine / P62894 / Bos
pig_P62895_Sus	pig / P62895 / Sus
rabbit_P00008_Oryctolagus	rabbit / P00008 / Oryctolagus
mouse_P62897_Mus	mouse / P62897 / Mus
rat_P62898_Rattus	rat / P62898 / Rattus
chicken_P67881_Gallus	chicken / P67881 / Gallus
king_penguin_P00017_Aptenodytes	king penguin / P00017 / Aptenodytes
mallard_P00020_Anas	mallard / P00020 / Anas
alligator_P81280_Alligator	alligator / P81280 / Alligator
snapping_turtle_P00022_Chelydra	snapping turtle / P00022 / Chelydra
bullfrog_P00024_Aquarana	bullfrog / P00024 / Aquarana
zebrafish_Q6IQM2_Danio	zebrafish / Q6IQM2 / Danio
common_carp_P00026_Cyprinus	common carp / P00026 / Cyprinus
kangaroo_P00014_Macropus	kangaroo / P00014 / Macropus
honeybee_P00038_Apis	honeybee / P00038 / Apis
c_elegans_P19974_Caenorhabditis	c elegans / P19974 / Caenorhabditis
budding_yeast_P00044_Saccharomyces	budding yeast / P00044 / Saccharomyces
arabidopsis_P29380_Arabidopsis	arabidopsis / P29380 / Arabidopsis
rice_Q0DI31_Oryza	rice / Q0DI31 / Oryza
gorilla_Q6WUX8_Gorilla	gorilla / Q6WUX8 / Gorilla
