metric	value
flow_version	0.2.0-r1
input_mode	raw_fasta
sequence_count	24
seq_type	protein
aligner	mafft
trimmer	trimal
tree_engine	iqtree
final_tree	03_results/tree/tree.nwk
tree_plot_status	generated
tree_plot_dir	03_results/tree/plots
tree_plot_layout	rectangular
tree_plot_gallery_layouts	rectangular,circular
tree_plot_formats	pdf,png,svg
tree_plot_style	journal
tree_plot_label_align	none
tree_plot_label_transform	pretty
tree_plot_scale_bar	auto
trimmed_alignment	03_results/alignment/trimmed.fa
